Zone,Crop,Temp_14d_Avg,Humid_14d_Avg,Rain_14d_Total,Disease_Occurred
Kymore Plateau & Satpura Hills,Soybean,28.3,74.6,15.4,0
Jhabua Hills,Soybean,35.4,95.5,43.5,1
Kymore Plateau & Satpura Hills,Paddy,36.7,71.2,7.8,1
Kymore Plateau & Satpura Hills,Soybean,28.8,97.9,14.8,1
Bundelkhand,Wheat,14.9,40.1,9.4,1
Bundelkhand,Wheat,13.2,60.9,8.1,0
Jhabua Hills,Soybean,25.1,85.5,23.3,1
Nimar Plains,Cotton,32.4,99.7,73.8,0
Central Narmada Valley,Wheat,22.7,36.3,5.2,0
Kymore Plateau & Satpura Hills,Paddy,31.0,80.1,7.7,1
Central Narmada Valley,Soybean,35.2,90.3,25.1,0
Chhattisgarh Plains,Flaxseed,19.4,62.1,4.0,0
Bundelkhand,Jowar,30.4,83.6,18.5,0
Central Narmada Valley,Wheat,25.2,37.4,1.2,0
Kymore Plateau & Satpura Hills,Wheat,18.1,38.8,10.9,0
Kymore Plateau & Satpura Hills,Paddy,27.4,90.1,54.6,0
Bundelkhand,Gram,15.6,52.9,6.5,0
Nimar Plains,Wheat,13.3,49.6,6.6,0
Nimar Plains,Wheat,21.0,39.7,5.5,0
Northern Hill Region of Chhattisgarh,Wheat,21.9,60.3,6.3,0
Vindhyan Plateau,Gram,18.0,44.9,37.7,0
Malwa Plateau,Maize,33.1,61.3,1.3,0
Central Narmada Valley,Soybean,40.1,79.7,1.6,0
Chhattisgarh Plains,Kodo-Kutki,32.8,84.2,74.0,0
Bundelkhand,Wheat,16.2,51.0,13.6,0
Kymore Plateau & Satpura Hills,Soybean,31.9,92.7,86.8,1
Bundelkhand,Jowar,25.9,80.6,18.8,0
Chambal Valley,Sorghum,39.4,76.0,0.3,0
Jhabua Hills,Cotton,29.5,86.2,13.8,1
Northern Hill Region of Chhattisgarh,Wheat,13.1,43.5,16.9,0
Jhabua Hills,Soybean,27.4,87.3,2.1,1
Chhattisgarh Plains,Paddy,30.6,81.2,48.2,0
Kymore Plateau & Satpura Hills,Soybean,32.1,85.1,40.1,1
Bundelkhand,Lentil,16.5,40.1,7.9,0
Satpura Highlands,Paddy,33.7,90.8,2.1,1
Satpura Highlands,Maize,28.3,76.5,9.9,0
Nimar Plains,Soybean,30.0,93.3,1.6,1
Vindhyan Plateau,Wheat,20.3,56.8,2.1,0
Nimar Plains,Cotton,34.2,94.6,6.9,1
Chhattisgarh Plains,Paddy,29.3,56.1,8.7,0
Nimar Plains,Sorghum,31.8,59.0,0.0,0
Northern Hill Region of Chhattisgarh,Paddy,36.8,97.6,12.9,1
Vindhyan Plateau,Wheat,22.7,77.0,2.4,0
Kymore Plateau & Satpura Hills,Gram,22.3,53.4,1.6,0
Jhabua Hills,Soybean,28.5,82.6,27.7,0
Chhattisgarh Plains,Paddy,29.1,97.3,9.0,1
Malwa Plateau,Soybean,33.1,77.5,0.7,0
Chhattisgarh Plains,Paddy,37.6,55.9,72.3,0
Nimar Plains,Cotton,23.2,77.9,42.7,1
Chhattisgarh Plains,Flaxseed,21.8,57.6,1.4,0
Central Narmada Valley,Soybean,26.6,87.7,11.6,1
Chambal Valley,Wheat,18.0,11.8,3.9,0
Vindhyan Plateau,Wheat,23.0,64.4,4.1,0
Chhattisgarh Plains,Flaxseed,21.5,81.0,5.1,0
Kymore Plateau & Satpura Hills,Wheat,19.5,37.4,7.1,0
Central Narmada Valley,Gram,20.0,36.6,1.5,0
Central Narmada Valley,Gram,19.2,64.1,1.1,0
Nimar Plains,Wheat,29.4,26.5,3.7,0
Northern Hill Region of Chhattisgarh,Paddy,32.4,59.3,14.6,0
Vindhyan Plateau,Paddy,31.1,85.0,10.1,1
Bundelkhand,Wheat,18.2,37.0,8.2,0
Jhabua Hills,Cotton,24.7,88.7,20.3,1
Malwa Plateau,Wheat,34.2,74.5,2.6,1
Chhattisgarh Plains,Flaxseed,23.4,33.8,8.1,0
Northern Hill Region of Chhattisgarh,Wheat,26.2,26.0,2.4,0
Jhabua Hills,Soybean,34.4,76.5,40.0,0
Chambal Valley,Mustard,19.0,45.3,6.2,0
Chhattisgarh Plains,Flaxseed,15.9,47.5,2.9,0
Satpura Highlands,Paddy,35.6,84.4,0.4,0
Bundelkhand,Gram,19.2,49.9,0.1,0
Jhabua Hills,Cotton,35.0,91.8,4.9,1
Jhabua Hills,Black Gram,31.6,73.4,39.0,0
Kymore Plateau & Satpura Hills,Wheat,22.8,55.1,2.8,0
Chambal Valley,Mustard,17.1,55.1,3.7,0
Jhabua Hills,Soybean,27.1,79.3,22.8,0
Satpura Highlands,Coarse Millets,30.2,85.5,20.5,1
Satpura Highlands,Coarse Millets,26.4,68.0,17.9,1
Central Narmada Valley,Sugarcane,23.2,73.3,33.4,0
Bundelkhand,Gram,19.2,42.7,3.3,0
Vindhyan Plateau,Paddy,35.5,74.1,70.8,1
Malwa Plateau,Soybean,23.1,68.8,3.3,0
Satpura Highlands,Coarse Millets,27.5,76.5,18.7,0
Chhattisgarh Plains,Kodo-Kutki,32.3,53.8,38.8,1
Nimar Plains,Sorghum,31.0,95.1,5.0,0
Malwa Plateau,Maize,29.6,97.3,3.5,1
Central Narmada Valley,Soybean,31.7,88.9,16.5,1
Chhattisgarh Plains,Kodo-Kutki,27.9,86.5,6.0,1
Satpura Highlands,Maize,30.1,69.4,62.7,1
Bundelkhand,Lentil,26.8,27.3,0.9,1
Satpura Highlands,Maize,28.6,64.4,14.9,0
Vindhyan Plateau,Wheat,10.1,32.3,5.9,0
Central Narmada Valley,Gram,28.7,50.9,24.2,0
Kymore Plateau & Satpura Hills,Paddy,31.8,76.0,42.1,0
Vindhyan Plateau,Gram,15.1,67.1,1.8,0
Chambal Valley,Mustard,21.0,39.2,2.1,0
Nimar Plains,Wheat,17.4,42.1,7.3,0
Nimar Plains,Cotton,27.5,67.4,15.7,1
Chhattisgarh Plains,Kodo-Kutki,27.7,65.9,4.0,0
Nimar Plains,Soybean,35.0,79.0,35.3,0
Northern Hill Region of Chhattisgarh,Niger,24.2,74.9,5.6,0
Chambal Valley,Sorghum,27.3,95.0,8.0,1
Nimar Plains,Sorghum,25.1,98.3,35.2,1
Jhabua Hills,Black Gram,32.7,78.3,1.2,0
Vindhyan Plateau,Gram,19.5,42.8,5.2,0
Northern Hill Region of Chhattisgarh,Maize,30.7,105.9,4.3,0
Malwa Plateau,Wheat,20.5,41.0,2.4,0
Northern Hill Region of Chhattisgarh,Paddy,31.6,89.9,1.2,1
Malwa Plateau,Cotton,28.5,74.0,53.5,0
Bundelkhand,Wheat,6.9,30.6,0.0,0
Chhattisgarh Plains,Paddy,26.5,62.5,17.8,0
Chhattisgarh Plains,Flaxseed,18.9,65.5,5.9,1
Kymore Plateau & Satpura Hills,Gram,22.2,30.9,0.3,0
Central Narmada Valley,Sugarcane,36.3,75.1,44.0,0
Nimar Plains,Soybean,30.7,63.4,68.3,1
Bundelkhand,Wheat,16.8,23.6,3.2,0
Vindhyan Plateau,Paddy,26.9,70.6,2.2,1
Bundelkhand,Lentil,23.2,53.9,2.1,0
Chhattisgarh Plains,Paddy,31.8,75.0,36.4,0
Chambal Valley,Sorghum,27.3,70.6,41.0,0
Bundelkhand,Lentil,25.6,50.2,1.4,0
Chambal Valley,Mustard,26.6,53.2,16.0,0
Jhabua Hills,Soybean,27.7,79.9,103.9,0
Vindhyan Plateau,Gram,13.8,64.3,4.4,0
Chhattisgarh Plains,Kodo-Kutki,28.5,59.9,19.3,0
Satpura Highlands,Paddy,28.5,80.1,67.5,0
Chambal Valley,Mustard,18.0,54.8,3.0,0
Nimar Plains,Soybean,23.0,77.0,15.6,1
Bundelkhand,Gram,9.4,68.5,3.1,0
Jhabua Hills,Soybean,28.3,81.1,17.2,0
Chambal Valley,Sorghum,26.1,56.5,24.4,0
Northern Hill Region of Chhattisgarh,Paddy,31.2,64.7,25.4,0
Malwa Plateau,Maize,34.7,71.3,14.2,0
Chambal Valley,Mustard,25.9,73.1,1.9,0
Nimar Plains,Wheat,18.5,73.8,0.2,0
Satpura Highlands,Maize,31.8,91.9,8.1,1
Satpura Highlands,Maize,30.5,85.5,7.6,0
Northern Hill Region of Chhattisgarh,Paddy,31.9,76.1,13.4,0
Kymore Plateau & Satpura Hills,Gram,13.6,44.3,3.6,1
Vindhyan Plateau,Gram,20.9,43.8,4.2,1
Jhabua Hills,Cotton,31.6,96.6,2.2,1
Central Narmada Valley,Wheat,13.5,48.7,7.0,1
Jhabua Hills,Black Gram,36.3,82.0,0.1,1
Nimar Plains,Soybean,26.8,84.4,72.9,0
Vindhyan Plateau,Wheat,20.8,54.5,7.0,0
Satpura Highlands,Paddy,34.2,64.4,6.8,0
Bundelkhand,Jowar,31.1,111.8,9.6,1
Nimar Plains,Cotton,29.1,81.6,50.0,0
Chambal Valley,Mustard,27.8,71.0,0.7,1
Northern Hill Region of Chhattisgarh,Niger,34.4,73.4,11.0,0
Jhabua Hills,Black Gram,30.0,62.3,6.7,0
Chhattisgarh Plains,Paddy,18.5,57.3,15.9,0
Nimar Plains,Cotton,31.3,77.6,3.0,0
Malwa Plateau,Wheat,20.7,51.8,1.5,0
Jhabua Hills,Black Gram,29.4,86.1,3.6,1
Malwa Plateau,Wheat,19.6,21.8,2.9,0
Vindhyan Plateau,Wheat,22.0,57.4,0.5,0
Malwa Plateau,Cotton,30.1,76.8,90.7,0
Northern Hill Region of Chhattisgarh,Maize,32.5,74.9,19.8,0
Jhabua Hills,Black Gram,27.0,81.3,36.2,0
Chhattisgarh Plains,Flaxseed,15.1,44.6,6.0,0
Nimar Plains,Soybean,30.3,76.3,29.7,1
Chhattisgarh Plains,Flaxseed,19.3,52.2,8.4,0
Malwa Plateau,Maize,31.8,76.9,9.7,0
Vindhyan Plateau,Gram,16.7,66.2,8.5,0
Central Narmada Valley,Sugarcane,28.9,82.0,1.2,0
Northern Hill Region of Chhattisgarh,Paddy,30.8,73.3,14.1,0
Malwa Plateau,Maize,28.4,81.7,2.8,1
Satpura Highlands,Coarse Millets,31.1,83.1,65.7,1
Jhabua Hills,Maize,31.2,78.8,19.8,0
Malwa Plateau,Cotton,33.6,82.4,26.5,0
Bundelkhand,Gram,22.6,67.8,1.7,0
Malwa Plateau,Cotton,29.5,77.4,31.3,0
Malwa Plateau,Soybean,29.2,66.1,36.8,0
Vindhyan Plateau,Wheat,15.3,53.9,1.9,0
Malwa Plateau,Soybean,37.6,78.0,1.8,0
Northern Hill Region of Chhattisgarh,Paddy,26.9,87.2,21.3,1
Nimar Plains,Soybean,30.1,88.4,10.9,1
Kymore Plateau & Satpura Hills,Soybean,33.4,64.7,19.1,1
Vindhyan Plateau,Wheat,19.5,79.1,3.6,0
Nimar Plains,Sorghum,37.4,76.9,70.6,0
Malwa Plateau,Maize,42.4,76.9,4.6,0
Northern Hill Region of Chhattisgarh,Paddy,31.5,88.3,15.1,1
Satpura Highlands,Maize,20.8,75.7,17.0,0
Chhattisgarh Plains,Kodo-Kutki,22.4,82.2,13.7,0
Malwa Plateau,Maize,28.3,67.4,7.2,0
Chambal Valley,Mustard,27.7,50.2,9.2,0
Bundelkhand,Lentil,22.8,45.3,0.1,0
Kymore Plateau & Satpura Hills,Soybean,35.5,104.7,33.6,1
Malwa Plateau,Maize,33.7,62.4,4.1,0
Satpura Highlands,Coarse Millets,32.6,66.7,88.2,0
Malwa Plateau,Maize,24.0,54.5,7.3,1
Satpura Highlands,Maize,28.3,89.0,5.4,0
Jhabua Hills,Soybean,26.4,98.9,13.4,1
Vindhyan Plateau,Gram,18.5,40.5,5.4,0
Bundelkhand,Wheat,13.1,47.3,1.2,0
Chambal Valley,Sorghum,27.4,71.6,8.2,0
Northern Hill Region of Chhattisgarh,Maize,24.6,94.7,30.8,1
Kymore Plateau & Satpura Hills,Soybean,26.7,83.9,19.2,0
Chambal Valley,Wheat,24.9,54.1,34.1,0
Malwa Plateau,Cotton,27.1,70.0,16.3,0
Nimar Plains,Soybean,24.4,62.6,12.1,1
Kymore Plateau & Satpura Hills,Gram,12.1,66.2,8.5,0
Nimar Plains,Wheat,19.6,12.2,5.5,0
Chambal Valley,Sorghum,26.4,75.3,14.5,0
Malwa Plateau,Soybean,32.0,79.0,22.9,1
Jhabua Hills,Soybean,23.4,67.5,21.1,1
Jhabua Hills,Maize,32.6,66.8,19.6,1
Malwa Plateau,Wheat,20.8,34.1,14.6,0
Central Narmada Valley,Sugarcane,32.7,82.0,45.3,1
Kymore Plateau & Satpura Hills,Soybean,31.0,69.2,43.0,0
Malwa Plateau,Soybean,27.3,93.0,31.9,1
Jhabua Hills,Black Gram,34.9,61.0,22.0,0
Bundelkhand,Lentil,16.3,28.1,9.0,0
Malwa Plateau,Cotton,27.8,79.9,5.4,1
Satpura Highlands,Paddy,32.7,75.4,36.9,0
Nimar Plains,Sorghum,29.8,86.6,6.8,1
Vindhyan Plateau,Gram,20.8,36.2,3.5,0
Malwa Plateau,Maize,33.3,66.1,19.6,0
Northern Hill Region of Chhattisgarh,Niger,33.4,94.7,3.0,1
Kymore Plateau & Satpura Hills,Wheat,19.5,44.3,3.9,0
Northern Hill Region of Chhattisgarh,Niger,36.6,87.5,62.1,1
Chambal Valley,Mustard,24.7,67.7,6.1,0
Jhabua Hills,Cotton,30.7,101.0,1.9,1
Kymore Plateau & Satpura Hills,Wheat,22.7,54.6,0.6,1
Jhabua Hills,Soybean,33.1,69.5,9.1,0
Bundelkhand,Wheat,22.8,46.2,9.2,0
Central Narmada Valley,Wheat,16.7,34.6,1.0,1
Central Narmada Valley,Soybean,28.7,61.0,9.7,0
Chhattisgarh Plains,Paddy,32.3,67.9,2.4,0
Malwa Plateau,Wheat,14.8,72.2,0.8,0
Kymore Plateau & Satpura Hills,Gram,32.5,45.9,2.0,1
Chambal Valley,Sorghum,30.6,67.3,56.1,1
Nimar Plains,Sorghum,25.2,72.8,35.3,0
Central Narmada Valley,Sugarcane,37.9,77.9,37.7,0
Chhattisgarh Plains,Kodo-Kutki,35.2,83.5,41.2,0
Satpura Highlands,Paddy,27.0,85.8,47.4,1
Satpura Highlands,Paddy,21.0,80.1,8.1,0
Bundelkhand,Gram,18.2,62.8,7.3,0
Jhabua Hills,Soybean,30.0,84.0,68.1,0
Satpura Highlands,Paddy,31.1,78.3,4.7,0
Jhabua Hills,Soybean,30.7,76.7,34.4,0
Central Narmada Valley,Sugarcane,28.6,86.4,22.5,1
Nimar Plains,Soybean,36.8,70.8,10.5,0
Malwa Plateau,Wheat,23.7,69.2,2.2,0
Vindhyan Plateau,Gram,27.7,54.8,3.9,0
Satpura Highlands,Paddy,24.8,72.1,14.8,0
Satpura Highlands,Coarse Millets,31.1,79.5,20.2,1
Jhabua Hills,Cotton,31.6,82.9,3.8,0
Chhattisgarh Plains,Paddy,30.3,88.9,18.7,0
Jhabua Hills,Maize,32.8,82.7,5.9,0
Jhabua Hills,Cotton,26.7,84.7,41.0,1
Bundelkhand,Wheat,17.0,48.9,0.1,1
Vindhyan Plateau,Paddy,35.3,77.3,55.0,0
Northern Hill Region of Chhattisgarh,Paddy,31.0,81.1,23.1,0
Jhabua Hills,Maize,36.1,70.7,26.9,0
Central Narmada Valley,Gram,22.2,65.0,2.1,0
Central Narmada Valley,Wheat,22.3,46.8,1.3,0
Satpura Highlands,Coarse Millets,28.4,99.0,67.4,1
Vindhyan Plateau,Paddy,24.5,90.8,8.7,1
Central Narmada Valley,Wheat,20.3,44.4,4.0,0
Vindhyan Plateau,Wheat,26.5,63.0,0.0,1
Kymore Plateau & Satpura Hills,Wheat,16.1,36.9,0.2,0
Nimar Plains,Sorghum,27.1,75.9,2.8,0
Bundelkhand,Jowar,28.2,87.3,13.4,1
Bundelkhand,Wheat,9.3,40.5,4.4,0
Kymore Plateau & Satpura Hills,Wheat,21.0,40.6,15.3,0
Kymore Plateau & Satpura Hills,Paddy,34.5,82.2,66.3,0
Nimar Plains,Wheat,13.3,44.1,10.5,0
Malwa Plateau,Maize,36.4,90.5,12.1,1
Chambal Valley,Wheat,16.8,56.0,5.7,0
Chambal Valley,Wheat,14.8,49.8,0.1,0
Nimar Plains,Soybean,27.3,91.5,17.1,1
Kymore Plateau & Satpura Hills,Wheat,24.0,55.1,2.6,0
Northern Hill Region of Chhattisgarh,Paddy,22.5,97.3,11.7,1
Bundelkhand,Gram,26.9,57.4,6.9,0
Malwa Plateau,Soybean,24.1,75.9,12.3,0
Northern Hill Region of Chhattisgarh,Wheat,20.1,36.3,4.2,0
Chambal Valley,Sorghum,23.6,68.9,12.8,0
Nimar Plains,Soybean,28.9,96.4,16.9,1
Central Narmada Valley,Wheat,12.6,23.4,2.6,0
Chambal Valley,Sorghum,29.5,99.3,1.1,1
Nimar Plains,Soybean,29.3,50.1,53.1,0
Chambal Valley,Sorghum,33.2,66.6,3.2,0
Vindhyan Plateau,Wheat,26.7,63.9,1.0,0
Chambal Valley,Mustard,23.3,43.3,10.0,0
Malwa Plateau,Cotton,32.1,87.7,22.7,1
Central Narmada Valley,Wheat,20.1,34.2,4.4,0
Jhabua Hills,Soybean,37.8,90.1,5.9,0
Jhabua Hills,Cotton,32.5,93.3,10.6,1
Northern Hill Region of Chhattisgarh,Wheat,25.1,60.3,8.8,1
Kymore Plateau & Satpura Hills,Paddy,33.2,70.7,22.1,0
Kymore Plateau & Satpura Hills,Soybean,32.6,81.8,6.7,0
Satpura Highlands,Maize,29.0,88.0,13.2,0
Central Narmada Valley,Gram,27.0,59.5,3.0,0
Northern Hill Region of Chhattisgarh,Paddy,29.0,97.6,39.3,1
Nimar Plains,Sorghum,27.0,69.1,9.5,0
Bundelkhand,Lentil,18.9,28.4,12.0,0
Bundelkhand,Gram,19.0,36.9,0.3,0
Bundelkhand,Jowar,28.4,81.9,27.9,1
Vindhyan Plateau,Gram,7.7,58.3,1.8,0
Central Narmada Valley,Soybean,26.5,88.0,7.2,1
Northern Hill Region of Chhattisgarh,Paddy,36.6,76.3,6.0,0
Jhabua Hills,Soybean,27.8,93.5,25.7,1
Nimar Plains,Soybean,31.7,86.3,7.8,1
Chhattisgarh Plains,Flaxseed,15.4,48.3,6.1,0
Jhabua Hills,Cotton,33.9,87.5,12.7,1
Vindhyan Plateau,Paddy,41.1,67.5,25.0,0
Chhattisgarh Plains,Paddy,21.7,77.2,14.9,0
Bundelkhand,Lentil,27.9,41.4,5.8,0
Central Narmada Valley,Soybean,35.6,101.4,11.5,1
Kymore Plateau & Satpura Hills,Gram,18.2,43.1,0.6,0
Chambal Valley,Mustard,25.6,46.0,1.3,0
Vindhyan Plateau,Wheat,14.6,52.7,1.9,1
Northern Hill Region of Chhattisgarh,Paddy,28.0,83.8,7.1,1
Nimar Plains,Wheat,19.6,57.6,1.1,0
Bundelkhand,Gram,21.5,44.2,0.1,0
Vindhyan Plateau,Gram,15.7,66.7,8.8,0
Bundelkhand,Lentil,15.6,54.4,5.3,0
Chhattisgarh Plains,Kodo-Kutki,40.7,89.7,20.6,1
Vindhyan Plateau,Wheat,19.2,40.4,16.6,0
Northern Hill Region of Chhattisgarh,Niger,31.5,71.8,25.9,0
Malwa Plateau,Wheat,18.8,58.2,1.5,0
Vindhyan Plateau,Gram,22.9,37.1,2.4,0
Chhattisgarh Plains,Paddy,24.4,41.0,32.0,1
Kymore Plateau & Satpura Hills,Paddy,30.5,76.1,14.3,0
Vindhyan Plateau,Wheat,16.9,39.1,5.4,1
Malwa Plateau,Cotton,28.6,76.5,1.5,1
Nimar Plains,Soybean,26.9,74.5,6.9,1
Northern Hill Region of Chhattisgarh,Niger,33.6,76.1,12.6,0
Northern Hill Region of Chhattisgarh,Paddy,35.0,71.3,21.8,0
Chhattisgarh Plains,Kodo-Kutki,29.1,69.0,36.9,0
Malwa Plateau,Maize,34.2,78.9,41.6,1
Satpura Highlands,Paddy,21.7,91.9,17.7,1
Northern Hill Region of Chhattisgarh,Wheat,25.2,36.3,10.3,0
Kymore Plateau & Satpura Hills,Wheat,18.6,61.3,4.0,0
Chhattisgarh Plains,Flaxseed,23.5,87.5,1.1,0
Nimar Plains,Cotton,26.6,82.3,19.9,0
Satpura Highlands,Maize,25.9,84.6,31.0,0
Jhabua Hills,Black Gram,23.0,68.9,27.7,0
Satpura Highlands,Coarse Millets,34.3,76.9,7.3,1
Nimar Plains,Wheat,22.8,39.6,0.1,0
Northern Hill Region of Chhattisgarh,Wheat,17.7,86.6,8.5,0
Northern Hill Region of Chhattisgarh,Maize,25.5,79.8,54.2,0
Northern Hill Region of Chhattisgarh,Wheat,14.1,56.0,1.3,0
Chambal Valley,Sorghum,32.2,86.8,3.4,1
Northern Hill Region of Chhattisgarh,Paddy,29.5,91.2,14.4,1
Jhabua Hills,Maize,35.0,80.9,44.3,1
Central Narmada Valley,Soybean,37.7,45.4,6.9,0
Malwa Plateau,Cotton,33.0,87.9,24.0,1
Northern Hill Region of Chhattisgarh,Paddy,29.3,87.8,2.0,1
Chhattisgarh Plains,Flaxseed,17.3,34.2,3.9,0
Satpura Highlands,Coarse Millets,34.8,92.3,20.4,1
Central Narmada Valley,Wheat,18.5,70.2,7.7,0
Jhabua Hills,Cotton,18.0,66.9,38.4,1
Chhattisgarh Plains,Flaxseed,22.6,48.9,9.0,0
Malwa Plateau,Cotton,28.1,92.2,55.7,1
Chhattisgarh Plains,Paddy,35.8,90.8,26.3,1
Malwa Plateau,Soybean,27.2,79.0,16.2,0
Nimar Plains,Soybean,22.3,108.3,8.7,1
Jhabua Hills,Soybean,28.2,68.3,9.8,0
Kymore Plateau & Satpura Hills,Soybean,30.9,94.9,27.8,1
Nimar Plains,Wheat,21.0,38.1,0.5,1
Vindhyan Plateau,Gram,23.4,64.4,4.5,0
Jhabua Hills,Cotton,30.0,87.2,67.0,1
Northern Hill Region of Chhattisgarh,Maize,24.2,77.3,0.1,0
Kymore Plateau & Satpura Hills,Soybean,26.3,54.4,98.6,0
Kymore Plateau & Satpura Hills,Gram,21.9,71.8,7.2,0
Satpura Highlands,Maize,33.0,82.9,13.6,0
Jhabua Hills,Soybean,29.9,59.1,13.6,0
Vindhyan Plateau,Gram,14.5,76.9,1.6,0
Nimar Plains,Wheat,13.8,45.1,5.8,0
Jhabua Hills,Cotton,31.0,75.9,28.0,0
Chambal Valley,Sorghum,26.8,87.6,46.3,1
Kymore Plateau & Satpura Hills,Wheat,18.6,57.3,8.1,1
Satpura Highlands,Coarse Millets,33.6,61.3,83.1,0
Bundelkhand,Jowar,25.0,77.4,51.6,0
Northern Hill Region of Chhattisgarh,Maize,35.3,95.4,78.2,0
Nimar Plains,Wheat,20.8,54.6,7.3,0
Satpura Highlands,Paddy,27.4,73.4,41.6,0
Jhabua Hills,Maize,25.0,82.5,9.5,0
Central Narmada Valley,Sugarcane,33.1,82.1,8.5,0
Bundelkhand,Lentil,25.0,66.9,1.9,0
Nimar Plains,Cotton,29.7,89.6,46.8,1
Kymore Plateau & Satpura Hills,Wheat,16.2,54.6,3.3,0
Chhattisgarh Plains,Paddy,34.3,97.1,60.1,0
Malwa Plateau,Maize,30.8,97.5,9.8,0
Vindhyan Plateau,Paddy,34.2,79.0,22.0,0
Jhabua Hills,Soybean,23.2,91.8,42.3,1
Kymore Plateau & Satpura Hills,Soybean,29.5,84.5,1.7,0
Northern Hill Region of Chhattisgarh,Niger,22.1,90.4,8.5,1
Nimar Plains,Cotton,31.9,79.0,28.8,0
Chhattisgarh Plains,Flaxseed,19.9,37.6,1.9,0
Nimar Plains,Sorghum,28.1,73.9,8.2,1
Central Narmada Valley,Gram,25.9,30.9,1.7,0
Bundelkhand,Lentil,16.7,45.2,0.1,0
Kymore Plateau & Satpura Hills,Gram,23.3,59.3,3.9,0
Chambal Valley,Wheat,24.1,47.1,6.7,0
Satpura Highlands,Paddy,31.2,54.2,26.6,0
Northern Hill Region of Chhattisgarh,Wheat,20.4,51.1,3.3,0
Chhattisgarh Plains,Paddy,25.1,79.5,11.5,0
Satpura Highlands,Paddy,33.5,81.9,12.5,1
Northern Hill Region of Chhattisgarh,Wheat,31.1,52.7,0.5,0
Nimar Plains,Soybean,23.9,88.6,49.6,1
Chambal Valley,Wheat,14.5,60.3,0.2,0
Chambal Valley,Sorghum,32.6,81.0,17.6,1
Northern Hill Region of Chhattisgarh,Wheat,13.8,22.4,4.0,0
Malwa Plateau,Soybean,31.8,77.5,22.2,0
Satpura Highlands,Coarse Millets,26.0,80.0,14.5,0
Vindhyan Plateau,Gram,22.6,48.2,3.3,1
Chambal Valley,Sorghum,31.9,67.7,0.6,0
Northern Hill Region of Chhattisgarh,Maize,41.8,89.6,0.9,1
Northern Hill Region of Chhattisgarh,Wheat,21.5,77.4,0.8,0
Chhattisgarh Plains,Flaxseed,18.7,64.0,5.8,0
Central Narmada Valley,Soybean,33.5,60.9,18.5,0
Malwa Plateau,Cotton,25.5,52.0,10.8,0
Central Narmada Valley,Wheat,26.4,61.4,11.8,0
Central Narmada Valley,Soybean,32.3,65.4,17.6,0
Satpura Highlands,Coarse Millets,37.7,83.1,53.7,0
Malwa Plateau,Cotton,26.9,88.5,12.3,1
Chambal Valley,Mustard,14.4,59.7,5.4,0
Chhattisgarh Plains,Kodo-Kutki,28.8,60.5,12.2,1
Bundelkhand,Wheat,19.0,35.0,1.7,0
Bundelkhand,Wheat,25.1,102.9,0.8,0
Chambal Valley,Mustard,21.2,37.4,1.1,0
Chhattisgarh Plains,Kodo-Kutki,28.4,86.5,9.9,1
Kymore Plateau & Satpura Hills,Gram,20.7,47.2,1.5,0
Chhattisgarh Plains,Kodo-Kutki,31.1,59.8,59.5,1
Chhattisgarh Plains,Kodo-Kutki,30.2,73.5,30.5,0
Satpura Highlands,Paddy,33.7,71.0,10.8,1
Vindhyan Plateau,Wheat,18.8,31.9,3.0,0
Northern Hill Region of Chhattisgarh,Wheat,19.6,49.0,2.1,1
Central Narmada Valley,Soybean,28.0,100.6,12.9,0
Bundelkhand,Wheat,22.3,40.9,3.4,0
Kymore Plateau & Satpura Hills,Paddy,36.4,83.9,8.3,0
Nimar Plains,Wheat,22.2,36.0,4.6,0
Malwa Plateau,Wheat,23.4,74.7,2.2,0
Chambal Valley,Sorghum,28.5,88.4,26.3,1
Central Narmada Valley,Sugarcane,26.7,65.0,13.2,0
Bundelkhand,Lentil,13.8,66.2,1.7,0
Satpura Highlands,Paddy,24.6,68.2,20.5,0
Bundelkhand,Jowar,29.2,77.2,17.9,1
Satpura Highlands,Maize,29.8,89.9,0.7,1
Jhabua Hills,Soybean,37.4,63.6,2.8,0
Chhattisgarh Plains,Kodo-Kutki,31.9,86.6,43.5,1
Satpura Highlands,Coarse Millets,29.1,63.2,29.4,0
Bundelkhand,Wheat,20.6,62.3,0.8,0
Malwa Plateau,Wheat,17.5,49.1,1.9,0
Northern Hill Region of Chhattisgarh,Niger,33.8,92.9,9.3,0
Vindhyan Plateau,Wheat,18.6,49.9,0.8,0
Malwa Plateau,Maize,21.9,83.8,4.3,0
Vindhyan Plateau,Wheat,28.0,70.3,5.1,1
Nimar Plains,Sorghum,31.8,83.9,6.1,0
Malwa Plateau,Wheat,20.4,55.0,6.6,0
Nimar Plains,Soybean,31.8,91.9,17.4,1
Northern Hill Region of Chhattisgarh,Wheat,25.6,54.4,2.2,0
Vindhyan Plateau,Gram,22.5,35.3,4.7,0
Jhabua Hills,Cotton,29.0,90.4,9.4,1
Nimar Plains,Soybean,33.9,73.0,7.7,0
Satpura Highlands,Coarse Millets,30.1,83.3,8.1,0
Kymore Plateau & Satpura Hills,Soybean,33.0,88.8,52.0,0
Central Narmada Valley,Wheat,16.8,32.9,7.7,0
Chhattisgarh Plains,Paddy,31.5,81.6,37.3,1
Nimar Plains,Soybean,28.8,64.5,19.9,0
Malwa Plateau,Soybean,29.5,70.5,20.2,0
